Date,Value
1998-01-31,4.4156
1998-02-28,4.6076
1998-03-31,4.6796
1998-04-30,4.7516
1998-05-31,4.7276
1998-06-30,4.7276
1998-07-31,4.8236
1998-08-31,4.8956
1998-09-30,5.1836
1998-10-31,5.1116
1998-11-30,5.1596
1998-12-31,5.0636
1999-01-31,5.1356
1999-02-28,4.9436
1999-03-31,5.1836
1999-04-30,5.0876
1999-05-31,4.9436
1999-06-30,4.9676
1999-07-31,4.9676
1999-08-31,5.0876
1999-09-30,5.0156
1999-10-31,4.9436
1999-11-30,5.0876
1999-12-31,5.0396
2000-01-31,5.2316
2000-02-29,5.2796
2000-03-31,5.4476
2000-04-30,5.4956
2000-05-31,5.4236
2000-06-30,5.4956
2000-07-31,5.4716
2000-08-31,5.4956
2000-09-30,5.2796
2000-10-31,5.4236
2000-11-30,5.3276
2000-12-31,5.2076
2001-01-31,5.1836
2001-02-28,5.1596
2001-03-31,4.6796
2001-04-30,4.7516
2001-05-31,4.7036
2001-06-30,4.7756
2001-07-31,4.7516
2001-08-31,4.7276
2001-09-30,4.7756
2001-10-31,4.8956
2001-11-30,4.8476
2001-12-31,4.7276
2002-01-31,4.8716
2002-02-28,4.8716
2002-03-31,4.9916
2002-04-30,5.1356
2002-05-31,5.1836
2002-06-30,5.1356
2002-07-31,5.1836
2002-08-31,5.3276
2002-09-30,5.3036
2002-10-31,5.2796
2002-11-30,5.4236
2002-12-31,5.5436
2003-01-31,5.3996
2003-02-28,5.4956
2003-03-31,5.4956
2003-04-30,5.4236
2003-05-31,5.0156
2003-06-30,5.0156
2003-07-31,5.0636
2003-08-31,4.7756
2003-09-30,4.8716
2003-10-31,4.8956
2003-11-30,4.8716
2003-12-31,5.1116
2004-01-31,5.3516
2004-02-29,5.4236
2004-03-31,5.2316
2004-04-30,5.2556
2004-05-31,5.4236
2004-06-30,5.3756
2004-07-31,5.4716
2004-08-31,5.6395
2004-09-30,5.8075
2004-10-31,5.8315
2004-11-30,5.6395
2004-12-31,5.5196
2005-01-31,5.3276
2005-02-28,5.2316
2005-03-31,5.3756
2005-04-30,5.2076
2005-05-31,5.2316
2005-06-30,5.3756
2005-07-31,5.3276
2005-08-31,5.2316
2005-09-30,5.0876
2005-10-31,4.9196
2005-11-30,5.0156
2005-12-31,4.7996
2006-01-31,4.8476
2006-02-28,4.6316
2006-03-31,4.6556
2006-04-30,4.8716
2006-05-31,4.7516
2006-06-30,4.8476
2006-07-31,4.8716
2006-08-31,4.7996
2006-09-30,4.6556
2006-10-31,4.6556
2006-11-30,4.4876
2006-12-31,4.5356
2007-01-31,4.4156
2007-02-28,4.4636
2007-03-31,4.3197
2007-04-30,3.8877
2007-05-31,3.8397
2007-06-30,3.7197
2007-07-31,3.5277
2007-08-31,3.3117
2007-09-30,3.1437
2007-10-31,2.9038
2007-11-30,2.8318
2007-12-31,2.5438
