,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
1450497,12/01/2012,121,0533 0537 1251 1258 1402 0913 0360,20300    HAMLIN                       ST,,"(34.1908, -118.5753)","[34.1908, -118.5753]",91306
1450586,06/10/2012,121,1259 0515 0527 1402,22100    VANOWEN                      ST,,"(34.1938, -118.6081)","[34.1938, -118.6081]",91303
1450600,08/10/2012,121,1258 0500,8200    OWENSMOUTH                   AV,,"(34.2176, -118.6016)","[34.2176, -118.6016]",91303
1450601,07/07/2012,121,1258 0360 0522 0510 0448,7600    OWENSMOUTH                   AV,,"(34.2083, -118.6016)","[34.2083, -118.6016]",91303
1450695,01/14/2012,121,0913 1251 0527 0533 0400,3000    ROYAL                        ST,,"(34.0263, -118.2808)","[34.0263, -118.2808]",90007
1450730,11/01/2012,121,0553 0503 0537 0536 0527 0545 1261,300 S  SAINT LOUIS                  ST,,"(34.0432, -118.2149)","[34.0432, -118.2149]",90033
1450817,05/01/2012,121,2000 0400 0602 0500 0522 0527 0552 1258 1402 1415,5800    WILLOUGHBY                   AV,,"(34.0872, -118.3222)","[34.0872, -118.3222]",90038
1450835,12/02/2012,121,0334,1300 N  WILCOX                       AV,,"(34.0944, -118.331)","[34.0944, -118.331]",90038
1450879,03/01/2012,121,2000 1821 0527 0519 1402,400    VETERAN                      AV,,"(34.0704, -118.455)","[34.0704, -118.455]",90024
1450882,08/01/2012,121,1817 0500 0527,1500 S  WOOSTER                      ST,,"(34.052, -118.383)","[34.052, -118.383]",90035
1450888,05/22/2012,121,,11900    GOSHEN                       AV,,"(34.0478, -118.4648)","[34.0478, -118.4648]",90404
1450892,10/01/2012,121,0500 0519 1814,900    AIROLE                       WY,,"(34.0864, -118.4516)","[34.0864, -118.4516]",90077
1450911,01/01/2012,121,1259 0527 1022 1206 1501 1823,SHERMAN                      WY,SEPULVEDA                    BL,"(34.2012, -118.4662)","[34.2012, -118.4662]",91405
1450981,06/11/2012,121,1259 0342 0527 0906,18700    LINNET                       ST,,"(34.1672, -118.5411)","[34.1672, -118.5411]",91356
1450996,05/01/2012,121,0558 1259 1309 0522 0526 0527 0537 0506 0519 0515,7500    BECKFORD                     AV,,"(34.2066, -118.5514)","[34.2066, -118.5514]",91335
1450999,01/01/2012,121,0527 1258 0360,6600    WOODLEY                      AV,,"(34.1903, -118.4836)","[34.1903, -118.4836]",91406
1451029,08/16/2012,121,1259 1203 0556 0527 0503 0522 0506 0515,1800    BERKELEY                     AV,,"(34.0821, -118.257)","[34.0821, -118.257]",90026
1451078,10/13/2012,121,1251 1259 0360 1309 1310 0334 0421 0536 0527 1801,85TH                         ST,WESTERN                      AV,"(33.9609, -118.309)","[33.9609, -118.309]",90047
1451083,01/01/2012,121,1251 1258 0558 0536 0537,6400    11TH                         AV,,"(33.9817, -118.3294)","[33.9817, -118.3294]",90043
1451088,01/01/2012,121,1259 1251 0522 0537 0536 0334 0527 0449 0443 0558,1400 W  59TH                         PL,,"(33.9867, -118.3002)","[33.9867, -118.3002]",90062
1451125,06/01/2012,121,1801 0527 0533 1251 1259,5800 S  VERMONT                      AV,,"(33.9897, -118.2915)","[33.9897, -118.2915]",90037
1451194,06/15/2012,121,,7600 W  MANCHESTER                   AV,,"(33.9598, -118.4307)","[33.9598, -118.4307]",90293
1451196,01/05/2012,121,1415,4400    MARIONWOOD,,"(33.9932, -118.4094)","[33.9932, -118.4094]",90230
1451321,09/01/2012,121,1814 0536 0527,LAUREL CANYON                BL,OSBORNE                      ST,"(34.2469, -118.4195)","[34.2469, -118.4195]",91331
1451368,03/15/2012,121,0533 1258 2002,21900    VINTAGE                      ST,,"(34.2522, -118.6048)","[34.2522, -118.6048]",91304
1451382,01/01/2012,121,1251 1258 1801 0527,11500    CROESUS                      AV,,"(33.9306, -118.2335)","[33.9306, -118.2335]",90059
1451412,08/01/2012,121,1258 0400 0527 1817,2000 E  101ST                        ST,,"(33.9449, -118.2367)","[33.9449, -118.2367]",90002
1451445,06/01/2012,121,0513 0514 1822 1820 1261 1259,8500    CANTALOUPE                   AV,,"(34.2253, -118.4361)","[34.2253, -118.4361]",91402
1451446,06/01/2012,121,0513 0514 1822 1820 1261 1259,8500    CANTALOUPE                   AV,,"(34.2253, -118.4361)","[34.2253, -118.4361]",91402
1451578,07/01/2012,121,1258 0527,22200    ELKWOOD                      ST,,"(34.2128, -118.6104)","[34.2128, -118.6104]",91303
1451608,10/07/2012,121,0413 0500 0519,2100 W  3RD                          ST,,"(34.063, -118.2727)","[34.063, -118.2727]",90057
1451618,01/01/2012,121,0913 1251 0400 0527,4800    AUGUST                       ST,,"(34.0173, -118.3515)","[34.0173, -118.3515]",90008
1451640,01/26/2012,121,1202 1268 1402 1409 1415,3300    HUNTER                       ST,,"(34.021, -118.208)","[34.021, -118.208]",90023
1451670,12/01/2012,121,0400 0421 0527 1243 2000 0507 1813 0913,900    NEPTUNE                      AV,,"(33.7811, -118.2688)","[33.7811, -118.2688]",90744
1451674,12/27/2012,121,1300 0913 1817,500 W  37TH                         ST,,"(33.7106, -118.2879)","[33.7106, -118.2879]",90822
1451733,12/14/2012,121,0501 0506 0522 0520 0531 1258 1501 0360 0527,13800    OXNARD                       ST,,"(34.1794, -118.4334)","[34.1794, -118.4334]",91401
1451758,01/01/2012,121,0360 0432 1017 0522 0527 0536 0537 1251 1258 1419,5700    OMAHA                        ST,,"(34.1054, -118.1923)","[34.1054, -118.1923]",90042
1451796,03/01/2012,121,0519 0537 0507,BRYNHURST                    AV,W  63RD                         ST,"(33.9829, -118.3338)","[33.9829, -118.3338]",90043
1451805,12/01/2012,121,1258 0537 0527,8100 S  FIGUEROA                     ST,,"(33.9657, -118.2827)","[33.9657, -118.2827]",90003
1451814,01/01/2012,121,0602 2000 0360 1821 0527 0400,4100    WOODLAWN                     AV,,"(34.0092, -118.2728)","[34.0092, -118.2728]",90011
1451819,02/01/2012,121,0913 0552 0500 0400 1255 1257,4400    WADSWORTH                    AV,,"(34.0039, -118.2588)","[34.0039, -118.2588]",90011
1451821,04/01/2012,121,1259 0432 0360 0527 0537,4900 S  CENTRAL                      AV,,"(33.9989, -118.2565)","[33.9989, -118.2565]",90011
1451846,08/01/2012,121,1259 0527 0913 0400 2004 1817,BLUFFSIDE,LANKERSHIM,"(0, 0)","[0.0, 0.0]",
1451868,01/01/2012,121,1259 0536 0537 0527 0913,10100    PINEWOOD                     AV,,"(34.2523, -118.2859)","[34.2523, -118.2859]",91214
1451904,01/01/2012,121,0512 0524 0556 0527 0510 1258,800 W  EL SEGUNDO                   BL,,"(33.9164, -118.2894)","[33.9164, -118.2894]",90061
1451911,01/01/2012,121,0558 1258,11400    ZAMORA                       AV,,"(33.931, -118.251)","[33.931, -118.251]",90059
1451917,01/12/2012,121,1251 1259 1820 0522 0527,400 E  108TH                        ST,,"(33.9383, -118.2674)","[33.9383, -118.2674]",90061
1451922,06/01/2012,121,1257 0522 0527 0551 0515,700 W  COLDEN                       AV,,"(33.9492, -118.2869)","[33.9492, -118.2869]",90044
1452036,01/01/2012,121,0500 0552 0448 0510 0532 0527 0519 1258,300 N  BERENDO                      ST,,"(34.0763, -118.2944)","[34.0763, -118.2944]",90004
1452040,10/06/2012,121,1415 0500 0527 0532 1822,WILSHIRE,BEAUDRY,"(34.0518, -118.262)","[34.0518, -118.262]",90017
1452048,06/01/2012,121,1251 1259 0522 0527 1313 0448 0537 0444,COLISEUM,MARTIN LUTHER KING           BL,"(34.0175, -118.346)","[34.0175, -118.346]",90008
1452081,01/01/2012,121,,1100    BROAD                        AV,,"(33.7849, -118.2612)","[33.7849, -118.2612]",90744
