,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
847,06/03/2010,121,0344 0408 0507 0549 0527 1019 1020 1218 1402 1817,6TH,MAPLE,"(34.0435, -118.2471)","[34.0435, -118.2471]",90014
1486,04/03/2010,121,0500 0532 0527 0522 1802,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
1571,10/05/2010,121,,LOS ANGELES,1ST                          ST,"(34.0515, -118.2424)","[34.0515, -118.2424]",90013
2041,10/15/2010,121,0408 0416 0421 0418 0519 0527 1415 1402 1814 2000,1200 W  7TH                          ST,,"(34.0515, -118.2658)","[34.0515, -118.2658]",90017
2348,01/01/2010,121,0504 0500 0444 0532 0913 1258,1200 S  HOOVER                       ST,,"(34.0492, -118.2842)","[34.0492, -118.2842]",90006
3078,05/07/2010,121,0504 0500 0527 0556 0913 1251 1258 1402,1000 N  MARIPOSA                     AV,,"(34.0891, -118.2992)","[34.0891, -118.2992]",90029
3270,05/26/2010,121,0432 0522 1243 1241 1821 2000,1400 W  6TH                          ST,,"(34.0562, -118.2673)","[34.0562, -118.2673]",90017
4899,01/14/2015,121,2002 0500,400 S  FIGUEROA                     ST,,"(34.0535, -118.256)","[34.0535, -118.256]",90071
4948,08/21/2010,121,0305 0400 0444 0537 0527 1300 1302 1402,39TH                         ST,VERMONT,"(34.0155, -118.2915)","[34.0155, -118.2915]",90037
5154,01/13/2015,121,1415 0411 0421 0519 0522 0449 0356 0500 0527,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
5221,01/27/2010,121,0400 0527,4600    COLISEUM                     ST,,"(34.017, -118.3471)","[34.017, -118.3471]",90008
5334,02/10/2010,121,0416 1309 1415 1822,COLISEUM,KING                         BL,"(34.017, -118.3477)","[34.017, -118.3477]",90008
5360,02/14/2010,121,0507 0527,4100    HILLCREST                    DR,,"(34.0115, -118.3488)","[34.0115, -118.3488]",90008
6347,06/06/2010,121,0344 0410 0432 0507 0526 0527 1300 1415 1402,3800 S  HOBART                       BL,,"(34.0174, -118.3078)","[34.0174, -118.3078]",90018
7033,08/11/2010,121,0416 0421 0429 0519 0527 1402,4200 S  FIGUEROA                     ST,,"(34.0072, -118.2827)","[34.0072, -118.2827]",90037
8222,12/05/2010,121,0400 0516 0536 0532 1251 1402,4000    STEVELY                      AV,,"(34.015, -118.3536)","[34.015, -118.3536]",90008
8597,09/17/2010,121,0202 0526 1206 1251 1262 1259 1309 1415 1409,8TH,LORENA,"(34.0205, -118.2024)","[34.0205, -118.2024]",90023
11116,09/28/2010,121,0342 0429 0444 0532 0527 1251 1259 1309,2400    EASTLAKE                     AV,,"(34.0738, -118.2078)","[34.0738, -118.2078]",90031
11882,07/07/2010,121,0527 1309 1402 1415 1821,3300    PECK                         AV,,"(33.7143, -118.2916)","[33.7143, -118.2916]",90822
12223,02/05/2015,121,0527,5TH                          ST,FLOWER                       ST,"(34.0516, -118.2561)","[34.0516, -118.2561]",90071
12915,02/01/2010,121,0400 0432 0527 0913 1243 1814 2000,200 W  14TH                         ST,,"(33.7315, -118.2814)","[33.7315, -118.2814]",90731
15704,04/02/2010,121,0400 0500 1018 1206 1402 1415,1800 N  CAHUENGA                     BL,,"(34.104, -118.3297)","[34.104, -118.3297]",90028
17328,02/20/2015,121,1415 0500 0522 2002 1206,200 W  5TH                          ST,,"(34.0488, -118.25)","[34.0488, -118.25]",90014
19261,07/27/2010,121,0500 1414,1600 S  LA BREA                      AV,,"(34.0459, -118.3454)","[34.0459, -118.3454]",90019
19623,09/19/2010,121,0400 0527,1800 S  LA BREA                      AV,,"(34.0424, -118.3467)","[34.0424, -118.3467]",90019
21963,08/15/2010,121,,WILSHIRE                     BL,BARRINGTON                   AV,"(34.0495, -118.4609)","[34.0495, -118.4609]",90025
22628,03/01/2010,121,0527 1206 1262 1822,1000    GAYLEY                       AV,,"(34.062, -118.448)","[34.062, -118.448]",90025
22958,12/24/2010,121,,2200    TERRANCE,,"(34.1033, -118.4916)","[34.1033, -118.4916]",90049
24817,07/28/2010,121,0400 0507 0542 0534 0536 0527 0526 1309 1415 1822,15500    SHERMAN                      WY,,"(34.2012, -118.4706)","[34.2012, -118.4706]",91406
25634,11/02/2010,121,1822 0101 0421 1501 0501 0500 0542 0527 1009 1268,6700    VAN NUYS                     BL,,"(34.1925, -118.4487)","[34.1925, -118.4487]",91405
27378,05/15/2010,121,1501,19400    STRATHERN                    ST,,"(34.2156, -118.556)","[34.2156, -118.556]",91335
27487,03/31/2015,121,0305 0409 0532 0527,COMMERCIAL,HEWITT,"(34.0532, -118.2355)","[34.0532, -118.2355]",90013
30044,03/30/2010,121,0500 1402,3500    MARGUERITE                   ST,,"(34.1179, -118.2378)","[34.1179, -118.2378]",90065
33666,04/26/2010,121,0400 0519 0516 0537 0527 1018 1206,4600 S  WESTERN                      AV,,"(34.0019, -118.3089)","[34.0019, -118.3089]",90062
33764,05/17/2010,121,0527 1262 1415 1822,7200 S  HOOVER                       ST,,"(33.9747, -118.2871)","[33.9747, -118.2871]",90003
34395,07/20/2010,121,0400 0516 0906 1251 1259 1409 2000,6TH                          AV,64TH                         ST,"(33.9818, -118.3235)","[33.9818, -118.3235]",90043
34883,07/25/2010,121,0537 1010 1814,600 W  85TH                         ST,,"(33.9611, -118.2842)","[33.9611, -118.2842]",90003
37991,07/28/2010,121,0416 0500 0913 1402 1817,5800 S  LOS ANGELES                  ST,,"(33.9877, -118.2705)","[33.9877, -118.2705]",90037
38798,10/19/2010,121,1402 1501,700 S  SAN PEDRO                    ST,,"(34.0407, -118.2468)","[34.0407, -118.2468]",90014
39923,01/07/2010,121,0500,800    OCEAN FRONT                  WK,,"(33.9913, -118.4775)","[33.9913, -118.4775]",90291
40790,04/19/2010,121,0400 0512 0519 0510 0500 0537 0527 0522 1259 1815,5400 W  98TH                         ST,,"(33.9477, -118.375)","[33.9477, -118.375]",90304
48865,09/01/2010,121,0112 0402 0415 0507 0501 0542 0537 0526 0527 1305,KEWEN,LANKERSHIM,"(34.2252, -118.3878)","[34.2252, -118.3878]",91605
52240,05/30/2015,121,1402 0527 1206 1262,500    WALL                         ST,,"(34.0449, -118.2458)","[34.0449, -118.2458]",90014
54487,04/06/2010,121,0515 0516 0510 0503 0537 0527 0526 0522 1309 1817,HOBART,WESTERN,"(34.0726, -118.3073)","[34.0726, -118.3073]",90020
56967,02/16/2010,121,0527 1402 1822,KELVIN                       AV,AVENUE SAN LUIS,"(34.1648, -118.5771)","[34.1648, -118.5771]",91356
57896,03/02/2010,121,0527 1202 1818,21200    VENTURA                      BL,,"(34.1673, -118.5946)","[34.1673, -118.5946]",91364
57900,06/03/2010,121,0515 0522 1257 1402,7300    DE SOTO                      AV,,"(34.2029, -118.5885)","[34.2029, -118.5885]",91303
59722,09/25/2010,121,0503 0500 1816,500 S  SPRING                       ST,,"(34.0474, -118.2496)","[34.0474, -118.2496]",90014
59834,08/25/2010,121,0360 0419 0444 0537 0527 1251 1259 2002,400    WITMER                       ST,,"(34.0576, -118.2644)","[34.0576, -118.2644]",90017
59837,11/01/2010,121,0400 0416 0432 0443 0537 0532 0527 1814 2000 2002,1700 W  7TH                          ST,,"(34.0544, -118.2723)","[34.0544, -118.2723]",90057
59844,04/07/2010,121,0527 1814 2000,12TH                         ST,UNION                        AV,"(34.0462, -118.276)","[34.0462, -118.276]",90015
59975,04/01/2010,121,0400 1402 0527 1259,2900 S  BUDLONG                      AV,,"(34.0287, -118.2959)","[34.0287, -118.2959]",90007
60053,11/30/2010,121,0400 0510 0531 0532 0536 0537 0527 1251 1259,3600 N  MISSION                      RD,,"(34.0678, -118.2024)","[34.0678, -118.2024]",90033
60057,06/01/2010,121,,1900    NEW JERSEY                   ST,,"(34.0492, -118.2157)","[34.0492, -118.2157]",90033
60059,05/01/2010,121,0519 0448 0537 0536 0527 0913 1814,1200    GABRIEL GARCIA MARQUEZ       ST,,"(34.051, -118.227)","[34.051, -118.227]",90013
60588,08/26/2010,121,,LA CIENEGA,PICO,"(34.0534, -118.3762)","[34.0534, -118.3762]",90035
61034,08/18/2010,121,0537 0527 0913 1251 1259,1700 W  SLAUSON                      AV,,"(33.9892, -118.3062)","[33.9892, -118.3062]",90062
61067,04/01/2010,121,0432 0520 0527 0556 1251 1258 1402 1809,1100 W  70TH                         ST,,"(33.9762, -118.2937)","[33.9762, -118.2937]",90037
61115,01/01/2010,121,0400 0422 0448 0527 1251 1259 1809,900 W  48TH                         ST,,"(33.9996, -118.2893)","[33.9996, -118.2893]",90037
61165,10/01/2010,121,0360 0510 0503 0536 0522 0527 1251 1243 1258 1415,4700 S  FIGUEROA                     ST,,"(34.0009, -118.2827)","[34.0009, -118.2827]",90037
61262,06/23/2015,121,0416 0417 1814 2000 0500,700    CLEVELAND                    ST,,"(34.0628, -118.242)","[34.0628, -118.242]",90012
61596,07/31/2010,121,0400 0500 0537 0527 0556 0913 1206 1259 1262 2001,11700    RUNNYMEDE                    ST,,"(34.2058, -118.3878)","[34.2058, -118.3878]",91605
61635,09/19/2010,121,0400 0416 0444 0532 0537 0527 0913 1814 2000 2002,11900    WEDDINGTON                   ST,,"(34.1667, -118.3922)","[34.1667, -118.3922]",91607
62413,01/01/2010,121,1259 0500,300    WITMER                       ST,,"(34.0591, -118.2635)","[34.0591, -118.2635]",90071
62419,09/01/2010,121,1251 0421 2002 0422 0519 0507 0527 1818 1259,300 N  KENMORE                      AV,,"(34.0763, -118.297)","[34.0763, -118.297]",90004
62450,10/07/2010,121,0527 0522 0510 0537 0536 0400 0361,100    UNION                        PL,,"(34.0637, -118.2638)","[34.0637, -118.2638]",90071
62489,08/28/2010,121,0527 0400 0913 1300 1814,800 W  42ND                         PL,,"(34.0065, -118.2872)","[34.0065, -118.2872]",90037
62506,12/04/2010,121,1402 1813 2002 1206 0527,3100    MC CLINTOCK                  AV,,"(34.0269, -118.2858)","[34.0269, -118.2858]",90007
62582,06/01/2010,121,0500,5300 W  OLYMPIC                      BL,,"(34.0572, -118.3459)","[34.0572, -118.3459]",90019
62701,06/20/2010,121,0360 0422 0444 0510 0527 0537 1309 0516 0536 0526,600 W  59TH                         PL,,"(33.986, -118.2843)","[33.986, -118.2843]",90037
62808,04/16/2010,121,0527 0528 0503 1206 0913 0500 1817 0522 2002,4500    LAUREL CANYON                BL,,"(34.146, -118.3962)","[34.146, -118.3962]",91604
62901,07/29/2010,121,1259 1251 0429 0305 0527 0537,114TH                        ST,PARMELEE                     AV,"(33.9311, -118.2493)","[33.9311, -118.2493]",90059
62965,07/01/2010,121,0603 0522 0510 0537 0532 0527 1309 0503 0512 0432,900 S  HARVARD                      BL,,"(34.0559, -118.3042)","[34.0559, -118.3042]",90010
63028,06/01/2010,121,2004 1218 0527 0532 0913 0429 0444,300 S  HOPE                         ST,,"(34.0537, -118.2523)","[34.0537, -118.2523]",90071
63052,08/01/2010,121,0602 0416 0444 0537 0527,1300    EMERALD                      DR,,"(34.0594, -118.2599)","[34.0594, -118.2599]",90071
63056,10/01/2010,121,2002 1206 0527 0913 0522 0515,W  31ST                         ST,S  FIGUEROA,"(34.0242, -118.2786)","[34.0242, -118.2786]",90007
63164,08/31/2010,121,0527 0500 0532,2400    CORINTH                      AV,,"(34.0343, -118.4392)","[34.0343, -118.4392]",90064
63221,01/01/2010,121,0913 0527 0503 0537 0512 0507 0516 0542,62ND                         ST,CIMARRON,"(33.9834, -118.3158)","[33.9834, -118.3158]",90062
63240,12/01/2010,121,0448 0527 0536 0537 0906 0913,ASCOT                        AV,43RD                         PL,"(34.005, -118.2498)","[34.005, -118.2498]",90011
63276,01/01/2010,121,1258 0519 0527 0507 0913,12200    OSBORNE                      PL,,"(34.2619, -118.3989)","[34.2619, -118.3989]",91331
63386,03/04/2010,121,0500,1500    SAN PABLO                    ST,,"(34.0624, -118.2032)","[34.0624, -118.2032]",90033
63398,04/01/2010,121,0913 1259 0515 0527 1807,700 W  33RD                         ST,,"(33.7143, -118.2916)","[33.7143, -118.2916]",90822
63419,08/01/2010,121,0429 0500 0527 0532 0536,WASHINGTON                   BL,LA BREA                      AV,"(34.0404, -118.3475)","[34.0404, -118.3475]",90019
63467,12/01/2010,121,0360 0504 0507 0512 0515 0526 0527 0542 0558 1251,400 W  52ND                         ST,,"(33.9958, -118.281)","[33.9958, -118.281]",90037
63521,01/01/2010,121,1258 1251 0527 1801 0522 0515,11500 S  MONA                         BL,,"(33.9304, -118.2306)","[33.9304, -118.2306]",90059
63523,01/01/2010,121,1267,11800    AINSWORTH                    ST,,"(33.9265, -118.2903)","[33.9265, -118.2903]",90061
63564,01/01/2010,121,1258 0536 0537 0527,100 N  TOLUCA                       ST,,"(34.0616, -118.2586)","[34.0616, -118.2586]",90071
63584,01/01/2010,121,,1100 W  39TH                         ST,,"(34.0155, -118.2947)","[34.0155, -118.2947]",90037
63598,02/02/2010,121,1251 1258 0533 0448 0537,2200 E  4TH                          ST,,"(34.0417, -118.2142)","[34.0417, -118.2142]",90033
63599,01/01/2010,121,0500,3700    MCKENZIE                     AV,,"(34.0893, -118.1899)","[34.0893, -118.1899]",90032
63624,06/01/2010,121,0360 0501 0500 0503 0513 0527 0547 0556 1258 1501,15200    STAGG                        ST,,"(34.2121, -118.4646)","[34.2121, -118.4646]",91405
63636,01/01/2010,121,1258 0360 0527 0526 0512 0507 0550 0551 0504 0536,19200    KESWICK                      ST,,"(34.2102, -118.5514)","[34.2102, -118.5514]",91335
63649,07/04/2010,121,1251 1258 1259 0536 0537 0527 0558,5100 S  GRAMERCY                     PL,,"(33.9969, -118.3138)","[33.9969, -118.3138]",90062
63652,11/27/2010,121,0527 0400 0537 0360,900 W  81ST                         ST,,"(33.9655, -118.2893)","[33.9655, -118.2893]",90044
63679,01/01/2010,121,0527 0432 0558 1258 0500 0522,12000    SATICOY                      ST,,"(34.2085, -118.3943)","[34.2085, -118.3943]",91605
63706,11/13/2010,121,1817 0554 0400 0522 0527 0551,1700 E  112TH                        ST,,"(33.933, -118.2434)","[33.933, -118.2434]",90059
63723,06/01/2010,121,0509 0527 0522 0556,1100 S  KENMORE                      AV,,"(34.0509, -118.2968)","[34.0509, -118.2968]",90006
63724,06/01/2010,121,0552 0509 0522 0527,1100 S  KENMORE                      AV,,"(34.0509, -118.2968)","[34.0509, -118.2968]",90006
63773,01/01/2010,121,0503 0515 0522 0527 0532 0537 0552 0913 1251 1258,1300 W  227TH                        ST,,"(33.8202, -118.2995)","[33.8202, -118.2995]",90502
63796,01/01/2010,121,1258 0537 0527,2600 S  CORNING                      ST,,"(34.0356, -118.3816)","[34.0356, -118.3816]",90035
63866,01/01/2010,121,1258 0400 0416 0519 0443 0512 1817,200 E  116TH                        PL,,"(33.9284, -118.2715)","[33.9284, -118.2715]",90061
63880,01/01/2010,121,0537 1258 0527 1817 0913,109TH                        ST,MAIN                         ST,"(33.9374, -118.2739)","[33.9374, -118.2739]",90061
63909,08/01/2010,121,0913 0400 0500 0522,900 N  MARIPOSA                     AV,,"(34.0869, -118.299)","[34.0869, -118.299]",90029
63926,01/01/2010,121,,500 N  BREED                        ST,,"(34.0504, -118.2068)","[34.0504, -118.2068]",90033
63931,10/01/2010,121,1258 1251 0400 0913 0522 0537 0536,1000    STONE                        ST,,"(34.0489, -118.1944)","[34.0489, -118.1944]",90063
63932,12/20/2010,121,0510 0503 0519 0527 0512 0556 1257 1258 1309,400 N  FRIES                        AV,,"(33.7741, -118.2646)","[33.7741, -118.2646]",90744
63939,01/01/2010,121,0500 0510 0537 0527,1700 N  HIGHLAND                     AV,,"(34.1006, -118.3417)","[34.1006, -118.3417]",90028
63970,10/25/2010,121,0527 0419 0537 0360,28TH                         ST,MAIN                         ST,"(34.0231, -118.2698)","[34.0231, -118.2698]",90007
63972,01/01/2010,121,0522 0502 0527 1251 1258 0537 1259 0552 0400,400 E  51ST                         ST,,"(33.9966, -118.2674)","[33.9966, -118.2674]",90011
63974,11/05/2010,121,0500,13400    MAXELLA                      AV,,"(33.9873, -118.4403)","[33.9873, -118.4403]",90292
64002,09/25/2010,121,0503 0552 0527 0409,100 W  91ST                         ST,,"(33.9538, -118.2739)","[33.9538, -118.2739]",90003
64008,09/01/2010,121,1258 0360 0507 0527 0510 0516,15000    COBALT                       ST,,"(34.3165, -118.4593)","[34.3165, -118.4593]",91340
64010,01/01/2010,121,0360 0400 0503 0551 0506 0522 0527 0529 0536 1258,8700    SNOWDEN                      AV,,"(34.228, -118.4326)","[34.228, -118.4326]",91402
64017,01/01/2010,121,0515 0527 1258 0913,22100    WYANDOTTE                    ST,,"(34.2028, -118.6081)","[34.2028, -118.6081]",91303
64026,01/01/2010,121,0515,4300    KENWOOD                      AV,,"(34.0055, -118.2991)","[34.0055, -118.2991]",90037
64027,01/01/2010,121,0515,4300    KENWOOD                      AV,,"(34.0055, -118.2991)","[34.0055, -118.2991]",90037
64035,01/01/2010,121,0443 0344 0432 0439 0444 0527 1251 1258 1305 1309,500    BROAD                        AV,,"(33.7757, -118.2608)","[33.7757, -118.2608]",90744
64038,06/01/2010,121,0400 0516 0527 1251 1258 1817,600 W  13TH                         ST,,"(33.7324, -118.2902)","[33.7324, -118.2902]",90731
64064,01/01/2010,121,1309 0913 0500 0443 0422,FLINT                        AV,ANAHEIM                      ST,"(33.7807, -118.2494)","[33.7807, -118.2494]",90744
64118,03/01/2010,121,0500 0527 1258 0510 0536 0537,18800    VINTAGE                      ST,,"(34.251, -118.543)","[34.251, -118.543]",91324
64123,01/01/2010,121,1258 0527 0515 0361,AVALON,90TH                         ST,"(33.9547, -118.2651)","[33.9547, -118.2651]",90003
64124,01/08/2010,121,0913 0527 0500 0906,100 W  105TH                        ST,,"(33.9411, -118.2739)","[33.9411, -118.2739]",90044
64135,03/01/2010,121,0500,200 S  KENMORE                      AV,,"(34.0712, -118.2966)","[34.0712, -118.2966]",90020
64142,12/16/2010,121,0500 0527,6800    HOLLYWOOD                    BL,,"(34.1016, -118.3387)","[34.1016, -118.3387]",90028
64154,06/08/2015,121,1411 1262 0319 0413 0500 1601 0527,900 W  OLYMPIC                      BL,,"(34.0454, -118.2657)","[34.0454, -118.2657]",90015
64162,10/01/2010,121,1258 0500 0503 0527 0522 0515,21400    HART                         ST,,"(34.1974, -118.5977)","[34.1974, -118.5977]",91303
64178,07/17/2015,121,1218 1268 1402 0448 0443 0542 0527 0510 0519,8TH,BROADWAY,"(34.0438, -118.2547)","[34.0438, -118.2547]",90014
64212,08/07/2015,121,0500 0507 0527 0334 0443,500 S  LOS ANGELES                  ST,,"(34.046, -118.2493)","[34.046, -118.2493]",90014
64261,09/09/2015,121,,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)","[34.0421, -118.2469]",90014
64296,09/09/2015,121,0449 0500 0507 0522 0527 0542,5TH                          ST,LOS ANGELES,"(34.0461, -118.2476)","[34.0461, -118.2476]",90014
64302,10/03/2015,121,0507 0527 0549 0408 0532 0516 1206,1200 E  6TH                          ST,,"(34.0382, -118.2384)","[34.0382, -118.2384]",90021
64429,12/23/2015,121,1402 0409 0500 0501 0510 0516 0527 0522,5TH                          ST,BROADWAY,"(34.0481, -118.2507)","[34.0481, -118.2507]",90014
64874,01/21/2015,121,0527,7TH,ALAMEDA,"(34.035, -118.2386)","[34.035, -118.2386]",90021
64899,01/23/2015,121,1402 2000 1814 2002 2001 1206 0416 0532 0527,900 W  OLYMPIC                      BL,,"(34.0454, -118.2657)","[34.0454, -118.2657]",90015
64991,01/25/2015,121,0522 0400,200 E  6TH                          ST,,"(34.0448, -118.2474)","[34.0448, -118.2474]",90014
65142,02/01/2015,121,0526 0527 1402 0400,200 W  5TH                          ST,,"(34.0488, -118.25)","[34.0488, -118.25]",90014
65320,02/07/2015,121,0500 1402 0444 1300,3RD                          ST,HILL                         ST,"(34.0517, -118.2491)","[34.0517, -118.2491]",90079
65337,02/09/2015,121,1218 1402 0448 0522,7TH,SAN PEDRO                    ST,"(34.0407, -118.2468)","[34.0407, -118.2468]",90014
65603,02/19/2015,121,1310 0522 0503 0507 0527 1309,1100 W  PICO                         BL,,"(34.0419, -118.2708)","[34.0419, -118.2708]",90015
65625,02/21/2015,121,0334 0500,700 W  7TH                          ST,,"(34.048, -118.2577)","[34.048, -118.2577]",90017
66014,03/07/2015,121,1206 1218 0416 0444 0429 0522,7TH                          ST,STANFORD                     AV,"(34.039, -118.2444)","[34.039, -118.2444]",90014
66032,03/06/2015,121,0507 0527 1218,200 E  6TH                          ST,,"(34.0448, -118.2474)","[34.0448, -118.2474]",90014
66051,03/06/2015,121,1020 1402 0444 0429 0527 0516 0501,5TH,BROADWAY,"(34.0481, -118.2507)","[34.0481, -118.2507]",90014
66154,03/13/2015,121,2003 1218 0500,200 E  6TH                          ST,,"(34.0448, -118.2474)","[34.0448, -118.2474]",90014
66191,03/15/2015,121,1402 0501 0515 0516 0532 0536,1000 S  HILL                         ST,,"(34.0416, -118.2584)","[34.0416, -118.2584]",90014
66196,03/15/2015,121,1402 1300 1310 0527 1415,5TH                          ST,MAPLE                        AV,"(34.0454, -118.2466)","[34.0454, -118.2466]",90014
66293,03/06/2015,121,0444 0408 1305 0516 0360 1251,7TH                          ST,HOPE                         ST,"(34.048, -118.2577)","[34.048, -118.2577]",90017
66731,04/05/2015,121,1402 0522 0510 0527 1218,RAMIREZ,VIGNES,"(34.0552, -118.2322)","[34.0552, -118.2322]",90012
66763,04/06/2015,121,1501 0400 0500 1402 1218,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
66961,04/15/2015,121,1218 1309 1310 0416 0522 0444,9TH,BROADWAY,"(34.0423, -118.2561)","[34.0423, -118.2561]",90014
67260,04/24/2015,121,0500 1268,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)","[34.0563, -118.2374]",90012
67358,04/30/2015,121,0527 1206,1ST,ALAMEDA,"(34.049, -118.2381)","[34.049, -118.2381]",90013
67486,05/04/2015,121,1402 0527 0416 0537 1206 1218,5TH,LOS ANGELES                  ST,"(34.0461, -118.2476)","[34.0461, -118.2476]",90014
67507,04/29/2015,121,1218,7TH                          ST,SAN PEDRO,"(34.0407, -118.2468)","[34.0407, -118.2468]",90014
67543,05/06/2015,121,0500 0400 0522 0515,300 E  1ST                          ST,,"(34.0504, -118.2409)","[34.0504, -118.2409]",90013
67800,05/16/2015,121,0400 0500,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
68217,06/07/2015,121,1402 1206 0500 1219,200 S  OLIVE                        ST,,"(34.0538, -118.2488)","[34.0538, -118.2488]",90079
68237,06/06/2015,121,1405,500 S  FLOWER                       ST,,"(34.0516, -118.2561)","[34.0516, -118.2561]",90071
68294,06/10/2015,121,0500 0504 1402 2004 1218 1415 1409,6TH                          ST,SAN JULIAN,"(34.0428, -118.2461)","[34.0428, -118.2461]",90014
68468,06/08/2015,121,0500 1206 0305 1218,4TH                          ST,CROCKER,"(34.0449, -118.2415)","[34.0449, -118.2415]",90013
68498,06/18/2015,121,1401 1218 0500 0409,5TH                          ST,STANFORD,"(34.0421, -118.2405)","[34.0421, -118.2405]",90013
68610,06/02/2015,121,0416 0417 0400 0527,800 W  1ST                          ST,,"(34.0571, -118.2509)","[34.0571, -118.2509]",90071
68655,06/23/2015,121,0913 1402 0500,5TH,GLADYS,"(34.0421, -118.2405)","[34.0421, -118.2405]",90013
68696,06/04/2015,121,1259 1268 0519 0500 0507 0913,WALL                         ST,6TH,"(34.0435, -118.2471)","[34.0435, -118.2471]",90014
68850,07/01/2015,121,2004 1218 0510 0527 1601 1402,7TH,WALL,"(34.0419, -118.2485)","[34.0419, -118.2485]",90014
68935,07/03/2015,121,1402 1268 1010 0413 1218 0500,6TH,CROCKER,"(34.0417, -118.2443)","[34.0417, -118.2443]",90014
69367,07/20/2015,121,1402 0400 0551 0500 1823,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)","[34.0617, -118.2469]",90012
69368,07/20/2015,121,1402 0500 0400 0527 0536 0537 1822,ALHAMBRA                     AV,MAIN                         ST,"(34.0663, -118.2302)","[34.0663, -118.2302]",90012
69388,07/20/2015,121,1218 1206 2004 0500 1814,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
69477,07/04/2015,121,0500 0401 0516 0408 0541 0527 0515,6TH                          ST,WALL                         ST,"(34.0428, -118.2461)","[34.0428, -118.2461]",90014
69718,08/01/2015,121,0522 1402 0532 0500 0527,400 S  MAIN                         ST,,"(34.0482, -118.2472)","[34.0482, -118.2472]",90079
69810,07/21/2015,121,0527 1218,3RD,MAIN,"(34.0489, -118.2453)","[34.0489, -118.2453]",90079
69879,06/10/2015,121,0400 0500 0527,400    SOLANO                       AV,,"(34.071, -118.2302)","[34.071, -118.2302]",90031
69962,08/08/2015,121,0500,300 S  BROADWAY,,"(34.051, -118.248)","[34.051, -118.248]",90079
70019,07/09/2015,121,1206 0913 0527,1600 S  MAIN                         ST,,"(34.0336, -118.2626)","[34.0336, -118.2626]",90015
70340,08/24/2015,121,0500 1206 1218,5TH                          ST,SPRING,"(34.0474, -118.2496)","[34.0474, -118.2496]",90014
70357,06/22/2015,121,1251 1259 1309 1822 0448 0416 0446 0508 0527,VENICE,FIGUEROA,"(34.0381, -118.2716)","[34.0381, -118.2716]",90015
70415,08/19/2015,121,0400 0500 1402,200 W  5TH                          ST,,"(34.0488, -118.25)","[34.0488, -118.25]",90014
70732,09/08/2015,121,1415 2004 2002 1218 1206 0500 0522 0913,6TH                          ST,SAN JULIAN                   ST,"(34.0428, -118.2461)","[34.0428, -118.2461]",90014
70809,09/02/2015,121,0527 1820 0551 0500 0515,300 S  SANTA FE                     AV,,"(34.046, -118.2326)","[34.046, -118.2326]",90013
70923,09/15/2015,121,0527,4TH,TOWNE,"(34.0444, -118.2407)","[34.0444, -118.2407]",90013
71315,09/26/2015,121,0522 0417 1300 1305 0500,5TH                          ST,LOS ANGELES                  ST,"(34.0461, -118.2476)","[34.0461, -118.2476]",90014
71551,10/08/2015,121,0400 0500 1402 1218,200    BOYD                         ST,,"(34.0478, -118.2454)","[34.0478, -118.2454]",90013
71704,10/11/2015,121,0500,7TH                          ST,CENTRAL,"(34.0368, -118.2412)","[34.0368, -118.2412]",90021
71814,10/17/2015,121,1402 0400 0500,800 S  HOPE                         ST,,"(34.0466, -118.259)","[34.0466, -118.259]",90017
71815,10/17/2015,121,1402 0400 0500,800 S  HOPE                         ST,,"(34.0466, -118.259)","[34.0466, -118.259]",90017
72020,05/22/2015,121,0500 0408 0512 0515 0527,700 W  9TH                          ST,,"(34.0462, -118.2585)","[34.0462, -118.2585]",90017
72041,10/23/2015,121,0527 0501 0429 0516 0413 0342,6TH,CROCKER,"(34.0453, -118.2443)","[34.0453, -118.2443]",90013
72271,10/21/2015,121,0500 0913,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
72419,11/08/2015,121,1402 0500 0522 0202,400 S  MAIN                         ST,,"(34.0482, -118.2472)","[34.0482, -118.2472]",90079
72439,11/02/2015,121,1218 0500 0413,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)","[34.0442, -118.2439]",90013
72482,11/08/2015,121,0527 0531 0542 1415 0500 0522,1400 S  FIGUEROA                     ST,,"(34.0393, -118.2689)","[34.0393, -118.2689]",90015
72548,07/09/2015,121,1814 1206 0522 0527 1262,1600 S  MAIN                         ST,,"(34.0336, -118.2626)","[34.0336, -118.2626]",90015
72704,10/08/2015,121,1402,500    RAMIREZ                      ST,,"(34.0552, -118.2322)","[34.0552, -118.2322]",90012
